Group,Affilitation,Year,Vaccine,Target,Vaccinated,Coverage,Unvaccinated
"GVAP Indicator",hic,2015,mcv2x2,13635421,3021673,22,10613748
"GVAP Indicator",hic,2016,mcv2x2,13419078,6809896,51,6609182
"GVAP Indicator",hic,2017,mcv2x2,13232163,6735914,51,6496249
"GVAP Indicator",hic,2008,pcv3,13654746,5197537,38,8457209
"GVAP Indicator",hic,2009,pcv3,13647730,6435937,47,7211793
"GVAP Indicator",hic,2010,pcv3,13614465,8141976,60,5472489
"GVAP Indicator",hic,2011,pcv3,13566615,9715950,72,3850665
"GVAP Indicator",hic,2012,pcv3,13519829,10252045,76,3267784
"GVAP Indicator",hic,2013,pcv3,13485928,10668113,79,2817815
"GVAP Indicator",hic,2014,pcv3,13468981,10840183,80,2628798
"GVAP Indicator",hic,2015,pcv3,13469329,11275805,84,2193524
"GVAP Indicator",hic,2016,pcv3,13483043,11444738,85,2038305
"GVAP Indicator",hic,2017,pcv3,13501119,11472519,85,2028600
"GVAP Indicator",hic,1980,pol3,13617781,7522759,55,6095022
"GVAP Indicator",hic,1981,pol3,13631199,8466034,62,5165165
"GVAP Indicator",hic,1982,pol3,13651054,10320575,76,3330479
"GVAP Indicator",hic,1983,pol3,13667889,11386752,83,2281137
"GVAP Indicator",hic,1984,pol3,13677216,11913069,87,1764147
"GVAP Indicator",hic,1985,pol3,13678389,11914984,87,1763405
"GVAP Indicator",hic,1986,pol3,13674257,12163913,89,1510344
"GVAP Indicator",hic,1987,pol3,13669398,12476362,91,1193036
"GVAP Indicator",hic,1988,pol3,13665821,12503286,91,1162535
"GVAP Indicator",hic,1989,pol3,13661417,12248725,90,1412692
"GVAP Indicator",hic,1990,pol3,13649956,12065967,88,1583989
"GVAP Indicator",hic,1991,pol3,13623572,11770063,86,1853509
"GVAP Indicator",hic,1992,pol3,13746454,11680390,85,2066064
"GVAP Indicator",hic,1993,pol3,13857588,12140281,88,1717307
"GVAP Indicator",hic,1994,pol3,13758265,12470064,91,1288201
"GVAP Indicator",hic,1995,pol3,13647109,12668180,93,978929
"GVAP Indicator",hic,1996,pol3,13532049,12648061,93,883988
"GVAP Indicator",hic,1997,pol3,13424072,12432795,93,991277
"GVAP Indicator",hic,1998,pol3,13331586,12250818,92,1080768
"GVAP Indicator",hic,1999,pol3,13261824,12291578,93,970246
"GVAP Indicator",hic,2000,pol3,13223627,12314896,93,908731
"GVAP Indicator",hic,2001,pol3,13223949,12101878,92,1122071
"GVAP Indicator",hic,2002,pol3,13259404,12338122,93,921282
"GVAP Indicator",hic,2003,pol3,13322791,12506392,94,816399
"GVAP Indicator",hic,2004,pol3,13406389,12616457,94,789932
"GVAP Indicator",hic,2005,pol3,13495886,12709175,94,786711
"GVAP Indicator",hic,2006,pol3,13574473,12854724,95,719749
"GVAP Indicator",hic,2007,pol3,13629847,12870686,94,759161
"GVAP Indicator",hic,2008,pol3,13654746,12964515,95,690231
"GVAP Indicator",hic,2009,pol3,13647730,12961398,95,686332
"GVAP Indicator",hic,2010,pol3,13614465,12919325,95,695140
"GVAP Indicator",hic,2011,pol3,13566615,12897172,95,669443
"GVAP Indicator",hic,2012,pol3,13519829,12865343,95,654486
"GVAP Indicator",hic,2013,pol3,13485928,12798749,95,687179
"GVAP Indicator",hic,2014,pol3,13468981,12792537,95,676444
"GVAP Indicator",hic,2015,pol3,13469329,12754801,95,714528
"GVAP Indicator",hic,2016,pol3,13483043,12751820,95,731223
"GVAP Indicator",hic,2017,pol3,13501119,12712948,94,788171
"GVAP Indicator",hic,1980,rcv1,13617781,3484718,26,10133063
"GVAP Indicator",hic,1981,rcv1,13631199,4049680,30,9581519
"GVAP Indicator",hic,1982,rcv1,13651054,4398397,32,9252657
"GVAP Indicator",hic,1983,rcv1,13667889,5124800,37,8543089
"GVAP Indicator",hic,1984,rcv1,13677216,5706801,42,7970415
"GVAP Indicator",hic,1985,rcv1,13678389,6264660,46,7413729
"GVAP Indicator",hic,1986,rcv1,13674257,6473050,47,7201207
"GVAP Indicator",hic,1987,rcv1,13669398,6276109,46,7393289
"GVAP Indicator",hic,1988,rcv1,13665821,7590205,56,6075616
"GVAP Indicator",hic,1989,rcv1,13661417,8964614,66,4696803
"GVAP Indicator",hic,1990,rcv1,13649956,9464646,69,4185310
"GVAP Indicator",hic,1991,rcv1,13623572,10496532,77,3127040
"GVAP Indicator",hic,1992,rcv1,13746454,10437273,76,3309181
"GVAP Indicator",hic,1993,rcv1,13857588,10707457,77,3150131
"GVAP Indicator",hic,1994,rcv1,13758265,11169092,81,2589173
"GVAP Indicator",hic,1995,rcv1,13647109,11465214,84,2181895
"GVAP Indicator",hic,1996,rcv1,13532049,11532959,85,1999090
"GVAP Indicator",hic,1997,rcv1,13424072,12070890,90,1353182
"GVAP Indicator",hic,1998,rcv1,13331586,12003451,90,1328135
"GVAP Indicator",hic,1999,rcv1,13261824,12066218,91,1195606
"GVAP Indicator",hic,2000,rcv1,13223627,12052556,91,1171071
"GVAP Indicator",hic,2001,rcv1,13223949,12092760,91,1131189
"GVAP Indicator",hic,2002,rcv1,13259404,12230661,92,1028743
"GVAP Indicator",hic,2003,rcv1,13322791,12397198,93,925593
"GVAP Indicator",hic,2004,rcv1,13406389,12520539,93,885850
"GVAP Indicator",hic,2005,rcv1,13495886,12557234,93,938652
"GVAP Indicator",hic,2006,rcv1,13574473,12660045,93,914428
"GVAP Indicator",hic,2007,rcv1,13629847,12685959,93,943888
"GVAP Indicator",hic,2008,rcv1,13654746,12739622,93,915124
"GVAP Indicator",hic,2009,rcv1,13647730,12633591,93,1014139
"GVAP Indicator",hic,2010,rcv1,13614465,12715281,93,899184
"GVAP Indicator",hic,2011,rcv1,13566615,12685227,94,881388
"GVAP Indicator",hic,2012,rcv1,13519829,12689545,94,830284
"GVAP Indicator",hic,2013,rcv1,13485928,12652711,94,833217
"GVAP Indicator",hic,2014,rcv1,13468981,12685321,94,783660
"GVAP Indicator",hic,2015,rcv1,13469329,12602394,94,866935
"GVAP Indicator",hic,2016,rcv1,13483043,12620266,94,862777
"GVAP Indicator",hic,2017,rcv1,13501119,12630541,94,870578
"GVAP Indicator",hic,2006,rotac,13574473,59703,0,13514770
"GVAP Indicator",hic,2007,rotac,13629847,48537,0,13581310
"GVAP Indicator",hic,2008,rotac,13654746,335541,2,13319205
"GVAP Indicator",hic,2009,rotac,13647730,2164912,16,11482818
"GVAP Indicator",hic,2010,rotac,13614465,2818775,21,10795690
"GVAP Indicator",hic,2011,rotac,13566615,3144227,23,10422388
"GVAP Indicator",hic,2012,rotac,13519829,3448201,26,10071628
"GVAP Indicator",hic,2013,rotac,13485928,4112612,30,9373316
"GVAP Indicator",hic,2014,rotac,13468981,4693597,35,8775384
"GVAP Indicator",hic,2015,rotac,13469329,5954388,44,7514941
"GVAP Indicator",hic,2016,rotac,13483043,6203247,46,7279796
"GVAP Indicator",hic,2017,rotac,13501119,6355079,47,7146040
"GVAP Indicator",hic,1997,yfv,86468,0,0,86468
"GVAP Indicator",hic,1998,yfv,86825,16707,19,70118
"GVAP Indicator",hic,1999,yfv,87237,16566,19,70671
"GVAP Indicator",hic,2000,yfv,87706,16537,19,71169
"GVAP Indicator",hic,2001,yfv,88250,16611,19,71639
"GVAP Indicator",hic,2002,yfv,88881,16210,18,72671
"GVAP Indicator",hic,2003,yfv,89600,16401,18,73199
"GVAP Indicator",hic,2004,yfv,90390,16990,19,73400
"GVAP Indicator",hic,2005,yfv,91237,17774,19,73463
"GVAP Indicator",hic,2006,yfv,92130,17003,18,75127
"GVAP Indicator",hic,2007,yfv,93038,17547,19,75491
"GVAP Indicator",hic,2008,yfv,93922,16878,18,77044
"GVAP Indicator",hic,2009,yfv,830647,77383,9,753264
"GVAP Indicator",hic,2010,yfv,833805,122069,15,711736
"GVAP Indicator",hic,2011,yfv,836576,107478,13,729098
"GVAP Indicator",hic,2012,yfv,838705,79731,10,758974
"GVAP Indicator",hic,2013,yfv,840013,72194,9,767819
"GVAP Indicator",hic,2014,yfv,840467,74062,9,766405
"GVAP Indicator",hic,2015,yfv,840100,57915,7,782185
"GVAP Indicator",hic,2016,yfv,839031,64650,8,774381
"GVAP Indicator",hic,2017,yfv,837502,66005,8,771497
"GVAP Indicator",mic_nongavi,1980,bcg,43323083,9081958,21,34241125
"GVAP Indicator",mic_nongavi,1981,bcg,43993933,10166441,23,33827492
"GVAP Indicator",mic_nongavi,1982,bcg,45002929,11601705,26,33401224
"GVAP Indicator",mic_nongavi,1983,bcg,46231907,21137514,46,25094393
"GVAP Indicator",mic_nongavi,1984,bcg,47557632,28203941,59,19353691
"GVAP Indicator",mic_nongavi,1985,bcg,48782322,32060508,66,16721814
"GVAP Indicator",mic_nongavi,1986,bcg,49690909,35205185,71,14485724
"GVAP Indicator",mic_nongavi,1987,bcg,50151317,40521733,81,9629584
"GVAP Indicator",mic_nongavi,1988,bcg,50083320,45514084,91,4569236
"GVAP Indicator",mic_nongavi,1989,bcg,49477660,45296418,92,4181242
"GVAP Indicator",mic_nongavi,1990,bcg,48385811,44850482,93,3535329
"GVAP Indicator",mic_nongavi,1991,bcg,46981740,43777599,93,3204141
"GVAP Indicator",mic_nongavi,1992,bcg,47879959,44112187,92,3767772
"GVAP Indicator",mic_nongavi,1993,bcg,46261491,42713977,92,3547514
"GVAP Indicator",mic_nongavi,1994,bcg,44657597,40923702,92,3733895
"GVAP Indicator",mic_nongavi,1995,bcg,43297534,37890543,88,5406991
"GVAP Indicator",mic_nongavi,1996,bcg,42219854,38042640,90,4177214
"GVAP Indicator",mic_nongavi,1997,bcg,41377445,37294633,90,4082812
"GVAP Indicator",mic_nongavi,1998,bcg,40727382,36701190,90,4026192
"GVAP Indicator",mic_nongavi,1999,bcg,40267040,36589496,91,3677544
"GVAP Indicator",mic_nongavi,2000,bcg,39984771,36451436,91,3533335
"GVAP Indicator",mic_nongavi,2001,bcg,39859016,36209434,91,3649582
"GVAP Indicator",mic_nongavi,2002,bcg,40015344,36110491,90,3904853
"GVAP Indicator",mic_nongavi,2003,bcg,40096459,36371017,91,3725442
"GVAP Indicator",mic_nongavi,2004,bcg,40239300,36621304,91,3617996
"GVAP Indicator",mic_nongavi,2005,bcg,40440033,36839174,91,3600859
"GVAP Indicator",mic_nongavi,2006,bcg,40708623,38157123,94,2551500
"GVAP Indicator",mic_nongavi,2007,bcg,41047939,38811508,95,2236431
"GVAP Indicator",mic_nongavi,2008,bcg,41443164,39871105,96,1572059
"GVAP Indicator",mic_nongavi,2009,bcg,41860954,40503915,97,1357039
"GVAP Indicator",mic_nongavi,2010,bcg,42252864,40626976,96,1625888
"GVAP Indicator",mic_nongavi,2011,bcg,42567705,41109716,97,1457989
"GVAP Indicator",mic_nongavi,2012,bcg,42770113,41318589,97,1451524
"GVAP Indicator",mic_nongavi,2013,bcg,42836285,41164306,96,1671979
"GVAP Indicator",mic_nongavi,2014,bcg,42754870,41003428,96,1751442
"GVAP Indicator",mic_nongavi,2015,bcg,42526208,40624617,96,1901591
"GVAP Indicator",mic_nongavi,2016,bcg,42166697,40047927,95,2118770
"GVAP Indicator",mic_nongavi,2017,bcg,41719025,39251658,94,2467367
"GVAP Indicator",mic_nongavi,1980,dtp1,40870276,11452589,28,29417687
"GVAP Indicator",mic_nongavi,1981,dtp1,41611591,12431042,30,29180549
"GVAP Indicator",mic_nongavi,1982,dtp1,42670422,13478967,32,29191455
"GVAP Indicator",mic_nongavi,1983,dtp1,43935120,32682865,74,11252255
"GVAP Indicator",mic_nongavi,1984,dtp1,45288558,37126263,82,8162295
"GVAP Indicator",mic_nongavi,1985,dtp1,46541409,40308707,87,6232702
"GVAP Indicator",mic_nongavi,1986,dtp1,47487562,41453987,87,6033575
"GVAP Indicator",mic_nongavi,1987,dtp1,47998874,42444863,88,5554011
"GVAP Indicator",mic_nongavi,1988,dtp1,47998865,44898028,94,3100837
"GVAP Indicator",mic_nongavi,1989,dtp1,47479353,44575525,94,2903828
"GVAP Indicator",mic_nongavi,1990,dtp1,46490718,43988870,95,2501848
"GVAP Indicator",mic_nongavi,1991,dtp1,45199683,42925575,95,2274108
"GVAP Indicator",mic_nongavi,1992,dtp1,46149132,43572914,94,2576218
"GVAP Indicator",mic_nongavi,1993,dtp1,44652315,41948765,94,2703550
"GVAP Indicator",mic_nongavi,1994,dtp1,43168931,39001316,90,4167615
"GVAP Indicator",mic_nongavi,1995,dtp1,41920208,38530811,92,3389397
"GVAP Indicator",mic_nongavi,1996,dtp1,40942732,37611474,92,3331258
"GVAP Indicator",mic_nongavi,1997,dtp1,40190527,38087520,95,2103007
"GVAP Indicator",mic_nongavi,1998,dtp1,39621921,37544903,95,2077018
"GVAP Indicator",mic_nongavi,1999,dtp1,39234494,37298316,95,1936178
"GVAP Indicator",mic_nongavi,2000,dtp1,39017407,37060232,95,1957175
"GVAP Indicator",mic_nongavi,2001,dtp1,38950462,36928282,95,2022180
"GVAP Indicator",mic_nongavi,2002,dtp1,38998918,36721639,94,2277279
"GVAP Indicator",mic_nongavi,2003,dtp1,39129286,36786631,94,2342655
"GVAP Indicator",mic_nongavi,2004,dtp1,39318941,37244498,95,2074443
"GVAP Indicator",mic_nongavi,2005,dtp1,39564576,37721029,95,1843547
"GVAP Indicator",mic_nongavi,2006,dtp1,39876221,38489604,97,1386617
"GVAP Indicator",mic_nongavi,2007,dtp1,40256332,38775413,96,1480919
"GVAP Indicator",mic_nongavi,2008,dtp1,40689911,39515489,97,1174422
"GVAP Indicator",mic_nongavi,2009,dtp1,41143864,39859402,97,1284462
"GVAP Indicator",mic_nongavi,2010,dtp1,41570059,40023330,96,1546729
"GVAP Indicator",mic_nongavi,2011,dtp1,41917585,40659173,97,1258412
"GVAP Indicator",mic_nongavi,2012,dtp1,42151245,40672135,96,1479110
"GVAP Indicator",mic_nongavi,2013,dtp1,42247377,40748299,96,1499078
"GVAP Indicator",mic_nongavi,2014,dtp1,42194729,40286884,95,1907845
"GVAP Indicator",mic_nongavi,2015,dtp1,41993649,39941305,95,2052344
"GVAP Indicator",mic_nongavi,2016,dtp1,41660425,39931592,96,1728833
"GVAP Indicator",mic_nongavi,2017,dtp1,41237463,39546127,96,1691336
"GVAP Indicator",mic_nongavi,1980,dtp3,40870276,7229011,18,33641265
"GVAP Indicator",mic_nongavi,1981,dtp3,41611591,8223111,20,33388480
"GVAP Indicator",mic_nongavi,1982,dtp3,42670422,9079464,21,33590958
"GVAP Indicator",mic_nongavi,1983,dtp3,43935120,23174024,53,20761096
"GVAP Indicator",mic_nongavi,1984,dtp3,45288558,28799172,64,16489386
"GVAP Indicator",mic_nongavi,1985,dtp3,46541409,32525470,70,14015939
"GVAP Indicator",mic_nongavi,1986,dtp3,47487562,33498093,71,13989469
"GVAP Indicator",mic_nongavi,1987,dtp3,47998874,34502957,72,13495917
"GVAP Indicator",mic_nongavi,1988,dtp3,47998865,40848393,85,7150472
"GVAP Indicator",mic_nongavi,1989,dtp3,47479353,40578217,85,6901136
"GVAP Indicator",mic_nongavi,1990,dtp3,46490718,40903089,88,5587629
"GVAP Indicator",mic_nongavi,1991,dtp3,45199683,39772080,88,5427603
"GVAP Indicator",mic_nongavi,1992,dtp3,46149132,39542418,86,6606714
"GVAP Indicator",mic_nongavi,1993,dtp3,44652315,37728064,84,6924251
"GVAP Indicator",mic_nongavi,1994,dtp3,43168931,36229972,84,6938959
"GVAP Indicator",mic_nongavi,1995,dtp3,41920208,34345003,82,7575205
"GVAP Indicator",mic_nongavi,1996,dtp3,40942732,34277946,84,6664786
"GVAP Indicator",mic_nongavi,1997,dtp3,40190527,34203495,85,5987032
"GVAP Indicator",mic_nongavi,1998,dtp3,39621921,34162437,86,5459484
"GVAP Indicator",mic_nongavi,1999,dtp3,39234494,34309264,87,4925230
"GVAP Indicator",mic_nongavi,2000,dtp3,39017407,34468555,88,4548852
"GVAP Indicator",mic_nongavi,2001,dtp3,38950462,34477352,89,4473110
"GVAP Indicator",mic_nongavi,2002,dtp3,38998918,34387348,88,4611570
"GVAP Indicator",mic_nongavi,2003,dtp3,39129286,34555474,88,4573812
"GVAP Indicator",mic_nongavi,2004,dtp3,39318941,35319100,90,3999841
"GVAP Indicator",mic_nongavi,2005,dtp3,39564576,35688776,90,3875800
"GVAP Indicator",mic_nongavi,2006,dtp3,39876221,37006694,93,2869527
"GVAP Indicator",mic_nongavi,2007,dtp3,40256332,37317440,93,2938892
"GVAP Indicator",mic_nongavi,2008,dtp3,40689911,38472071,95,2217840
"GVAP Indicator",mic_nongavi,2009,dtp3,41143864,39361010,96,1782854
"GVAP Indicator",mic_nongavi,2010,dtp3,41570059,39440484,95,2129575
"GVAP Indicator",mic_nongavi,2011,dtp3,41917585,39911608,95,2005977
"GVAP Indicator",mic_nongavi,2012,dtp3,42151245,39982146,95,2169099
"GVAP Indicator",mic_nongavi,2013,dtp3,42247377,39871539,94,2375838
"GVAP Indicator",mic_nongavi,2014,dtp3,42194729,39087381,93,3107348
"GVAP Indicator",mic_nongavi,2015,dtp3,41993649,38751776,92,3241873
"GVAP Indicator",mic_nongavi,2016,dtp3,41660425,38979355,94,2681070
"GVAP Indicator",mic_nongavi,2017,dtp3,41237463,38599063,94,2638400
"GVAP Indicator",mic_nongavi,1985,hepb3,46541409,0,0,46541409
"GVAP Indicator",mic_nongavi,1986,hepb3,47487562,0,0,47487562
"GVAP Indicator",mic_nongavi,1987,hepb3,47998874,0,0,47998874
"GVAP Indicator",mic_nongavi,1988,hepb3,47998865,0,0,47998865
"GVAP Indicator",mic_nongavi,1989,hepb3,47479353,340837,1,47138516
"GVAP Indicator",mic_nongavi,1990,hepb3,46490718,434272,1,46056446
"GVAP Indicator",mic_nongavi,1991,hepb3,45199683,459485,1,44740198
"GVAP Indicator",mic_nongavi,1992,hepb3,46149132,781296,2,45367836
"GVAP Indicator",mic_nongavi,1993,hepb3,44652315,1262145,3,43390170
"GVAP Indicator",mic_nongavi,1994,hepb3,43168931,3742177,9,39426754
"GVAP Indicator",mic_nongavi,1995,hepb3,41920208,6153465,15,35766743
"GVAP Indicator",mic_nongavi,1996,hepb3,40942732,7000731,17,33942001
"GVAP Indicator",mic_nongavi,1997,hepb3,40190527,7829587,19,32360940
"GVAP Indicator",mic_nongavi,1998,hepb3,39621921,7842664,20,31779257
"GVAP Indicator",mic_nongavi,1999,hepb3,39234494,11109680,28,28124814
"GVAP Indicator",mic_nongavi,2000,hepb3,39017407,24328576,62,14688831
"GVAP Indicator",mic_nongavi,2001,hepb3,38950462,26981993,69,11968469
"GVAP Indicator",mic_nongavi,2002,hepb3,38998918,28405419,73,10593499
"GVAP Indicator",mic_nongavi,2003,hepb3,39129286,30564952,78,8564334
"GVAP Indicator",mic_nongavi,2004,hepb3,39318941,32303116,82,7015825
"GVAP Indicator",mic_nongavi,2005,hepb3,39564576,34079002,86,5485574
"GVAP Indicator",mic_nongavi,2006,hepb3,39876221,36130303,91,3745918
"GVAP Indicator",mic_nongavi,2007,hepb3,40256332,36985677,92,3270655
"GVAP Indicator",mic_nongavi,2008,hepb3,40689911,37791146,93,2898765
"GVAP Indicator",mic_nongavi,2009,hepb3,41143864,39134978,95,2008886
"GVAP Indicator",mic_nongavi,2010,hepb3,41570059,39171781,94,2398278
"GVAP Indicator",mic_nongavi,2011,hepb3,41917585,39933336,95,1984249
"GVAP Indicator",mic_nongavi,2012,hepb3,42151245,39927551,95,2223694
"GVAP Indicator",mic_nongavi,2013,hepb3,42247377,39775461,94,2471916
"GVAP Indicator",mic_nongavi,2014,hepb3,42194729,39131503,93,3063226
"GVAP Indicator",mic_nongavi,2015,hepb3,41993649,38629348,92,3364301
"GVAP Indicator",mic_nongavi,2016,hepb3,41660425,38884789,93,2775636
"GVAP Indicator",mic_nongavi,2017,hepb3,41237463,38625121,94,2612342
"GVAP Indicator",mic_nongavi,2000,hepbb,40219294,6027694,15,34191600
"GVAP Indicator",mic_nongavi,2001,hepbb,40093320,6112607,15,33980713
"GVAP Indicator",mic_nongavi,2002,hepbb,40087328,6118818,15,33968510
"GVAP Indicator",mic_nongavi,2003,hepbb,40166465,7474656,19,32691809
"GVAP Indicator",mic_nongavi,2004,hepbb,40307421,21773162,54,18534259
"GVAP Indicator",mic_nongavi,2005,hepbb,40506745,23771225,59,16735520
"GVAP Indicator",mic_nongavi,2006,hepbb,40774830,24307623,60,16467207
"GVAP Indicator",mic_nongavi,2007,hepbb,41114785,24542941,60,16571844
"GVAP Indicator",mic_nongavi,2008,hepbb,41511883,26062380,63,15449503
"GVAP Indicator",mic_nongavi,2009,hepbb,41932729,26478548,63,15454181
"GVAP Indicator",mic_nongavi,2010,hepbb,42328711,28478301,67,13850410
"GVAP Indicator",mic_nongavi,2011,hepbb,42648351,29708851,70,12939500
"GVAP Indicator",mic_nongavi,2012,hepbb,42855820,29606565,69,13249255
"GVAP Indicator",mic_nongavi,2013,hepbb,42926864,30478296,71,12448568
"GVAP Indicator",mic_nongavi,2014,hepbb,42849824,29646666,69,13203158
"GVAP Indicator",mic_nongavi,2015,hepbb,42624778,30343997,71,12280781
"GVAP Indicator",mic_nongavi,2016,hepbb,42267969,29923119,71,12344850
"GVAP Indicator",mic_nongavi,2017,hepbb,41822151,33210692,79,8611459
"GVAP Indicator",mic_nongavi,1990,hib3,46490718,0,0,46490718
"GVAP Indicator",mic_nongavi,1991,hib3,45199683,0,0,45199683
"GVAP Indicator",mic_nongavi,1992,hib3,46149132,0,0,46149132
"GVAP Indicator",mic_nongavi,1993,hib3,44652315,0,0,44652315
"GVAP Indicator",mic_nongavi,1994,hib3,43168931,0,0,43168931
"GVAP Indicator",mic_nongavi,1995,hib3,41920208,0,0,41920208
"GVAP Indicator",mic_nongavi,1996,hib3,40942732,0,0,40942732
"GVAP Indicator",mic_nongavi,1997,hib3,40190527,19605,0,40170922
"GVAP Indicator",mic_nongavi,1998,hib3,39621921,631247,2,38990674
"GVAP Indicator",mic_nongavi,1999,hib3,39234494,775292,2,38459202
"GVAP Indicator",mic_nongavi,2000,hib3,39017407,7072759,18,31944648
"GVAP Indicator",mic_nongavi,2001,hib3,38950462,7310373,19,31640089
"GVAP Indicator",mic_nongavi,2002,hib3,38998918,7728128,20,31270790
"GVAP Indicator",mic_nongavi,2003,hib3,39129286,8463385,22,30665901
"GVAP Indicator",mic_nongavi,2004,hib3,39318941,9316189,24,30002752
"GVAP Indicator",mic_nongavi,2005,hib3,39564576,9960940,25,29603636
"GVAP Indicator",mic_nongavi,2006,hib3,39876221,9848091,25,30028130
"GVAP Indicator",mic_nongavi,2007,hib3,40256332,11552463,29,28703869
"GVAP Indicator",mic_nongavi,2008,hib3,40689911,12775716,31,27914195
"GVAP Indicator",mic_nongavi,2009,hib3,41143864,13214902,32,27928962
"GVAP Indicator",mic_nongavi,2010,hib3,41570059,13410783,32,28159276
"GVAP Indicator",mic_nongavi,2011,hib3,41917585,14049664,34,27867921
"GVAP Indicator",mic_nongavi,2012,hib3,42151245,14878209,35,27273036
"GVAP Indicator",mic_nongavi,2013,hib3,42247377,16582995,39,25664382
"GVAP Indicator",mic_nongavi,2014,hib3,42194729,18323568,43,23871161
"GVAP Indicator",mic_nongavi,2015,hib3,41993649,19444423,46,22549226
"GVAP Indicator",mic_nongavi,2016,hib3,41660425,19927170,48,21733255
"GVAP Indicator",mic_nongavi,2017,hib3,41237463,19978047,48,21259416
"GVAP Indicator",mic_nongavi,2015,ipv1,23361069,12364394,53,10996675
"GVAP Indicator",mic_nongavi,2016,ipv1,23236612,15321151,66,7915461
"GVAP Indicator",mic_nongavi,2017,ipv1,23068272,15973765,69,7094507
"GVAP Indicator",mic_nongavi,1980,mcv1,40870276,5623025,14,35247251
"GVAP Indicator",mic_nongavi,1981,mcv1,41611591,6837914,16,34773677
"GVAP Indicator",mic_nongavi,1982,mcv1,42670422,7580111,18,35090311
"GVAP Indicator",mic_nongavi,1983,mcv1,43935120,26170977,60,17764143
"GVAP Indicator",mic_nongavi,1984,mcv1,45288558,29581722,65,15706836
"GVAP Indicator",mic_nongavi,1985,mcv1,46541409,34722947,75,11818462
"GVAP Indicator",mic_nongavi,1986,mcv1,47487562,29369661,62,18117901
"GVAP Indicator",mic_nongavi,1987,mcv1,47998874,34199399,71,13799475
"GVAP Indicator",mic_nongavi,1988,mcv1,47998865,40483866,84,7514999
"GVAP Indicator",mic_nongavi,1989,mcv1,47479353,40578192,85,6901161
"GVAP Indicator",mic_nongavi,1990,mcv1,46490718,41414332,89,5076386
"GVAP Indicator",mic_nongavi,1991,mcv1,45199683,39257035,87,5942648
"GVAP Indicator",mic_nongavi,1992,mcv1,46149132,39285076,85,6864056
"GVAP Indicator",mic_nongavi,1993,mcv1,44652315,36624038,82,8028277
"GVAP Indicator",mic_nongavi,1994,mcv1,43168931,34318527,79,8850404
"GVAP Indicator",mic_nongavi,1995,mcv1,41920208,34615877,83,7304331
"GVAP Indicator",mic_nongavi,1996,mcv1,40942732,34694403,85,6248329
"GVAP Indicator",mic_nongavi,1997,mcv1,40190527,34732543,86,5457984
"GVAP Indicator",mic_nongavi,1998,mcv1,39621921,34600156,87,5021765
"GVAP Indicator",mic_nongavi,1999,mcv1,39234494,34484622,88,4749872
"GVAP Indicator",mic_nongavi,2000,mcv1,39017407,34474166,88,4543241
"GVAP Indicator",mic_nongavi,2001,mcv1,38950462,34716633,89,4233829
"GVAP Indicator",mic_nongavi,2002,mcv1,38998918,34416980,88,4581938
"GVAP Indicator",mic_nongavi,2003,mcv1,39129286,34536071,88,4593215
"GVAP Indicator",mic_nongavi,2004,mcv1,39318941,34940890,89,4378051
"GVAP Indicator",mic_nongavi,2005,mcv1,39564576,35287165,89,4277411
"GVAP Indicator",mic_nongavi,2006,mcv1,39876221,37028402,93,2847819
"GVAP Indicator",mic_nongavi,2007,mcv1,40256332,37468764,93,2787568
"GVAP Indicator",mic_nongavi,2008,mcv1,40689911,38533848,95,2156063
"GVAP Indicator",mic_nongavi,2009,mcv1,41143864,39285827,95,1858037
"GVAP Indicator",mic_nongavi,2010,mcv1,41570059,39377275,95,2192784
"GVAP Indicator",mic_nongavi,2011,mcv1,41917585,40045123,96,1872462
"GVAP Indicator",mic_nongavi,2012,mcv1,42151245,40134167,95,2017078
"GVAP Indicator",mic_nongavi,2013,mcv1,42247377,39869835,94,2377542
"GVAP Indicator",mic_nongavi,2014,mcv1,42194729,39567128,94,2627601
"GVAP Indicator",mic_nongavi,2015,mcv1,41993649,39531570,94,2462079
"GVAP Indicator",mic_nongavi,2016,mcv1,41660425,39229320,94,2431105
"GVAP Indicator",mic_nongavi,2017,mcv1,41237463,38871112,94,2366351
"GVAP Indicator",mic_nongavi,2000,mcv2,39509587,14068672,36,25440915
"GVAP Indicator",mic_nongavi,2001,mcv2,39588084,15431172,39,24156912
"GVAP Indicator",mic_nongavi,2002,mcv2,39941033,14682146,37,25258887
"GVAP Indicator",mic_nongavi,2003,mcv2,38489818,14739545,38,23750273
"GVAP Indicator",mic_nongavi,2004,mcv2,38719096,15119710,39,23599386
"GVAP Indicator",mic_nongavi,2005,mcv2,38834740,28557220,74,10277520
"GVAP Indicator",mic_nongavi,2006,mcv2,39287481,30243271,77,9044210
"GVAP Indicator",mic_nongavi,2007,mcv2,39742529,30398935,76,9343594
"GVAP Indicator",mic_nongavi,2008,mcv2,39355709,30489038,77,8866671
"GVAP Indicator",mic_nongavi,2009,mcv2,39600946,32271010,81,7329936
"GVAP Indicator",mic_nongavi,2010,mcv2,39950797,32609387,82,7341410
"GVAP Indicator",mic_nongavi,2011,mcv2,40240674,34135270,85,6105404
"GVAP Indicator",mic_nongavi,2012,mcv2,40551773,34199309,84,6352464
"GVAP Indicator",mic_nongavi,2013,mcv2,41305294,34799583,84,6505711
